 ,客房數,客房住用數,住用率,平均房價,房租收入,餐飲收入,總營業收入,客房部,餐飲部,管理部,其他部門,員工合計,,,,,,
Hotel Name,No. of Rooms,No. of Rooms Occupied,Occupancy Rate,Average Room Rate,Room Revenue,F & B Revenue,Total Revenue,Room Dep.,F&B Dep.,Adm. Dep.,Other Dep.,Total,,,,,,
陽明山中國麗緻大飯店,141,"2,743",64.13%,"5,127","14,064,097","9,092,606","31,205,145",40,44,27,50,161,,,,,,
Hotel Landis China Yangmingshan,,,,,,,,,,,,,,,,,,
高雄圓山大飯店,321,"6,480",66.55%,"2,127","13,780,668","41,627,203","60,078,126",87,237,42,135,501,,,,,,
Grand Hotel Kaohsiung,,,,,,,,,,,,,,,,,,
礁溪老爺大酒店,579,"14,343",81.67%,"7,500","107,579,615","69,665,803","203,453,523",272,381,198,109,960,,,,,,
Hotel Royal Chiao-His,,,,,,,,,,,,,,,,,,
涵碧樓大飯店,288,"6,744",77.20%,"11,838","79,833,502","20,752,338","106,061,655",144,210,58,325,737,,,,,,
The Lalu Sun Moon Lake,,,,,,,,,,,,,,,,,,
雲品溫泉酒店日月潭,633,"14,232",74.12%,"8,273","117,745,978","64,903,229","196,603,329",295,417,177,91,980,,,,,,
Fleur De Chine Hotel,,,,,,,,,,,,,,,,,,
日月行館,276,"2,894",34.57%,"12,751","36,902,114","16,994,531","55,555,776",63,105,48,49,265,,,,,,
Wen Wan Hotel & Resorts,,,,,,,,,,,,,,,,,,
凱撒大飯店,843,"22,512",88.04%,"4,820","108,510,132","35,347,543","152,523,502",300,246,111,175,832,,,,,,
Caesar Park Hotel Kenting,,,,,,,,,,,,,,,,,,
墾丁福華渡假飯店,"1,374","30,750",73.78%,"3,219","98,981,431","40,056,734","147,412,561",388,211,127,262,988,,,,,,
Howard Beach Resort Kenting,,,,,,,,,,,,,,,,,,
東方渡假酒店,336,"2,364",23.19%,"3,620","8,556,795","3,906,741","12,531,387",81,60,6,16,163,,,,,,
Dong Fang Du Jia Jiudian Hotel,,,,,,,,,,,,,,,,,,
知本老爺大酒店,546,"11,442",69.09%,"4,300","49,196,596","29,022,283","91,840,163",148,200,118,205,671,,,,,,
Hotel Royal Chihpen Spa,,,,,,,,,,,,,,,,,,
太魯閣晶英酒店,480,"6,051",41.56%,"6,875","41,598,937","15,353,973","64,617,372",174,135,92,106,507,,,,,,
"Silks Place Hotel, Taroko",,,,,,,,,,,,,,,,,,
福容大飯店 福隆,522,"2,812",17.76%,"6,030","16,956,686","10,501,059","28,740,837",108,165,36,72,381,,,,,,
Fulong Beach Resort Hotel,,,,,,,,,,,,,,,,,,
龍谷大飯店,567,"5,491",31.93%,"2,071","11,373,296","5,977,425","18,937,162",41,32,27,37,137,,,,,,
Dragon Valley Hotel,,,,,,,,,,,,,,,,,,
