美麗信花園酒店,"2,436","64,441",86.97%,"2,196","141,482,711","72,323,077","288,437,549","1,003",611,369,0,"1,983",,
Miramar Garden Taipei,,,,,,,,,,,,,,
台北寒舍艾美酒店,320,"5,461",55.95%,"5,994","32,732,006","73,739,928","117,587,001",149,424,141,31,745,,
Le Meridien Taipei Hotel,,,,,,,,,,,,,,
亞士都飯店,480,"7,757",53.13%,"2,277","17,661,470","4,628,115","22,289,585",108,120,84,0,312,,
Astar Hotel,,,,,,,,,,,,,,
第一大飯店,"2,112","53,672",83.55%,"1,583","84,989,352","50,727,060","323,703,204",163,0,156,183,502,,
First Hotel,,,,,,,,,,,,,,
六福客棧,"2,713","69,450",84.17%,"1,636","113,593,198","85,794,068","211,531,563",568,983,144,265,"1,960",,
The Leofoo Hotel,,,,,,,,,,,,,,
帝后大飯店,816,"16,269",65.55%,"1,600","26,035,233","798,386","26,833,619",192,48,48,0,288,,
Empress Hotel,,,,,,,,,,,,,,
華華大飯店,"1,344","30,680",75.05%,"1,591","48,819,396",0,"52,680,697",288,0,240,168,696,,
Hotel Flowers,,,,,,,,,,,,,,
歐華酒店,"1,344","22,871",55.95%,"3,033","69,357,543","70,411,151","157,378,606",516,486,366,0,"1,368",,
The Riviera Hotel,,,,,,,,,,,,,,
慶泰大飯店,"1,800","44,962",82.12%,"2,600","116,898,497","71,266,183","196,488,267",429,638,302,157,"1,526",,
Gala Hotel,,,,,,,,,,,,,,
天成大飯店,"2,712","72,548",87.95%,"2,328","168,872,345","212,538,261","430,845,057",756,204,120,84,"1,164",,
Cosmos Hotel,,,,,,,,,,,,,,
台北君品大酒店,"2,288","29,005",41.39%,"3,968","115,094,239","145,549,386","283,757,879",862,"1,236",555,53,"2,706",,
Palais De Chine Hotel Taipei,,,,,,,,,,,,,,
首都大飯店,"1,536","32,436",69.43%,"3,489","113,163,704","60,063,630","184,570,289",331,588,80,57,"1,056",,
Capital Hotel,,,,,,,,,,,,,,
日勝生加賀屋國際溫泉飯店,39,980,81.06%,"5,064","4,962,270","8,497,076","18,883,512",110,79,21,36,246,,
Radium-Kagaya,,,,,,,,,,,,,,
福容大飯店 台北,"1,440","29,449",67.24%,"3,534","104,062,347","131,536,679","256,822,358",299,851,95,100,"1,345",,
The Fullon Hotel Taipei,,,,,,,,,,,,,,
台北花園大酒店,"1,446","41,213",92.94%,"2,087","86,031,453","105,540,237","213,997,153",402,646,108,161,"1,317",,
Taipei Garden Hotel,,,,,,,,,,,,,,
總計,"113,040","2,590,118",75.31%,"3,591","9,300,625,093","10,622,939,604","23,079,732,759","36,116","55,749","18,648","10,473","120,986",,
Total,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
列印日期：,2011/1/31,高雄地區,,資料期間：,,2010年1月至2010年12月(Data for 2010/1~2010/12),,,,,,,,
,,Kaohsiung,,,,,,,,,,,,
,住用及營收概況,,,,,各部門職工概況(No. of Employees),,,,,,,,
旅館名稱,客房數,客房住用數,住用率,平均房價,房租收入,餐飲收入,總營業收入,客房部,餐飲部,管理部,其他部門,員工合計,,
Hotel Name,No. of Rooms,No. of Rooms Occupied,Occupancy Rate,Average Room Rate,Room Revenue,F & B Revenue,Total Revenue,Room Dep.,F&B Dep.,Adm. Dep.,Other Dep.,Total,,
華王大飯店,"3,564","75,066",69.25%,"1,589","119,245,213","118,488,234","244,371,471",598,834,547,33,"2,012",,
